,Puntuacion_usuario,Marca
14660,84.0,PlayStation
14752,84.0,PlayStation
14733,84.0,PlayStation
14759,84.0,PlayStation
14918,84.0,PlayStation
14934,84.0,PlayStation
14927,84.0,PlayStation
14925,84.0,PlayStation
14923,84.0,PlayStation
14921,84.0,PlayStation
14920,84.0,PlayStation
14916,84.0,PlayStation
14889,84.0,PlayStation
14915,84.0,PlayStation
14913,84.0,PlayStation
14911,84.0,PlayStation
14908,84.0,PlayStation
14902,84.0,PlayStation
14894,84.0,PlayStation
14938,84.0,PlayStation
14942,84.0,PlayStation
14943,84.0,PlayStation
14945,84.0,PlayStation
14949,84.0,PlayStation
14951,84.0,PlayStation
14955,84.0,PlayStation
14957,84.0,PlayStation
14958,84.0,PlayStation
14961,84.0,PlayStation
14964,84.0,PlayStation
14967,84.0,PlayStation
14969,84.0,PlayStation
14975,84.0,PlayStation
14978,84.0,PlayStation
14979,84.0,PlayStation
14980,84.0,PlayStation
14890,84.0,PlayStation
14947,84.0,PlayStation
14881,84.0,PlayStation
14774,84.0,PlayStation
14794,84.0,PlayStation
14792,84.0,PlayStation
14783,84.0,PlayStation
14779,84.0,PlayStation
14778,84.0,PlayStation
14764,84.0,PlayStation
14773,84.0,PlayStation
14799,84.0,PlayStation
14772,84.0,PlayStation
14771,84.0,PlayStation
14770,84.0,PlayStation
14769,84.0,PlayStation
14768,84.0,PlayStation
14878,84.0,PlayStation
14796,84.0,PlayStation
14775,84.0,PlayStation
14801,84.0,PlayStation
14849,84.0,PlayStation
14875,84.0,PlayStation
14812,84.0,PlayStation
14873,84.0,PlayStation
14872,84.0,PlayStation
14862,84.0,PlayStation
14860,84.0,PlayStation
14851,84.0,PlayStation
14861,84.0,PlayStation
14841,84.0,PlayStation
14839,84.0,PlayStation
14827,84.0,PlayStation
14816,84.0,PlayStation
14813,84.0,PlayStation
14285,83.0,PlayStation
14265,83.0,PlayStation
14283,83.0,PlayStation
14280,83.0,PlayStation
14286,83.0,PlayStation
14278,83.0,PlayStation
14273,83.0,PlayStation
14272,83.0,PlayStation
14268,83.0,PlayStation
14254,83.0,PlayStation
14264,83.0,PlayStation
14260,83.0,PlayStation
14259,83.0,PlayStation
14258,83.0,PlayStation
14257,83.0,PlayStation
14255,83.0,PlayStation
14252,83.0,PlayStation
14297,83.0,PlayStation
14247,83.0,PlayStation
14290,83.0,PlayStation
14327,83.0,PlayStation
14298,83.0,PlayStation
14318,83.0,PlayStation
14242,83.0,PlayStation
14331,83.0,PlayStation
14330,83.0,PlayStation
14329,83.0,PlayStation
14324,83.0,PlayStation
14323,83.0,PlayStation
14322,83.0,PlayStation
14319,83.0,PlayStation
14315,83.0,PlayStation
14299,83.0,PlayStation
14313,83.0,PlayStation
14312,83.0,PlayStation
14311,83.0,PlayStation
14309,83.0,PlayStation
14308,83.0,PlayStation
14304,83.0,PlayStation
14302,83.0,PlayStation
14301,83.0,PlayStation
14244,83.0,PlayStation
14102,83.0,PlayStation
14235,83.0,PlayStation
14103,83.0,PlayStation
14151,83.0,PlayStation
14149,83.0,PlayStation
14145,83.0,PlayStation
14141,83.0,PlayStation
14138,83.0,PlayStation
14137,83.0,PlayStation
14120,83.0,PlayStation
14118,83.0,PlayStation
14335,83.0,PlayStation
14156,83.0,PlayStation
14100,83.0,PlayStation
14099,83.0,PlayStation
14097,83.0,PlayStation
14096,83.0,PlayStation
14092,83.0,PlayStation
14090,83.0,PlayStation
14081,83.0,PlayStation
14080,83.0,PlayStation
14155,83.0,PlayStation
14162,83.0,PlayStation
14234,83.0,PlayStation
14207,83.0,PlayStation
14228,83.0,PlayStation
14225,83.0,PlayStation
14220,83.0,PlayStation
14217,83.0,PlayStation
14214,83.0,PlayStation
14213,83.0,PlayStation
14212,83.0,PlayStation
14209,83.0,PlayStation
14205,83.0,PlayStation
14165,83.0,PlayStation
14204,83.0,PlayStation
14189,83.0,PlayStation
14187,83.0,PlayStation
14185,83.0,PlayStation
14181,83.0,PlayStation
14179,83.0,PlayStation
14176,83.0,PlayStation
14170,83.0,PlayStation
14334,83.0,PlayStation
14326,83.0,PlayStation
14336,83.0,PlayStation
14518,83.0,PlayStation
14540,83.0,PlayStation
14536,83.0,PlayStation
14535,83.0,PlayStation
14533,83.0,PlayStation
14531,83.0,PlayStation
14530,83.0,PlayStation
14528,83.0,PlayStation
14520,83.0,PlayStation
14517,83.0,PlayStation
14546,83.0,PlayStation
14514,83.0,PlayStation
14513,83.0,PlayStation
14510,83.0,PlayStation
14509,83.0,PlayStation
14508,83.0,PlayStation
14507,83.0,PlayStation
14503,83.0,PlayStation
14502,83.0,PlayStation
14543,83.0,PlayStation
14549,83.0,PlayStation
14498,83.0,PlayStation
14572,83.0,PlayStation
14597,83.0,PlayStation
14590,83.0,PlayStation
14589,83.0,PlayStation
14337,83.0,PlayStation
14585,83.0,PlayStation
14584,83.0,PlayStation
14582,83.0,PlayStation
14577,83.0,PlayStation
14571,83.0,PlayStation
14550,83.0,PlayStation
14570,83.0,PlayStation
14569,83.0,PlayStation
14564,83.0,PlayStation
14560,83.0,PlayStation
14559,83.0,PlayStation
14556,83.0,PlayStation
14554,83.0,PlayStation
14551,83.0,PlayStation
14500,83.0,PlayStation
14587,83.0,PlayStation
14494,83.0,PlayStation
14380,83.0,PlayStation
14401,83.0,PlayStation
14400,83.0,PlayStation
14397,83.0,PlayStation
14393,83.0,PlayStation
14391,83.0,PlayStation
14389,83.0,PlayStation
14383,83.0,PlayStation
14381,83.0,PlayStation
14373,83.0,PlayStation
14406,83.0,PlayStation
14371,83.0,PlayStation
14365,83.0,PlayStation
14359,83.0,PlayStation
14355,83.0,PlayStation
14350,83.0,PlayStation
14347,83.0,PlayStation
14338,83.0,PlayStation
14492,83.0,PlayStation
14402,83.0,PlayStation
14339,83.0,PlayStation
14411,83.0,PlayStation
14449,83.0,PlayStation
14413,83.0,PlayStation
14478,83.0,PlayStation
14483,83.0,PlayStation
14477,83.0,PlayStation
14469,83.0,PlayStation
14465,83.0,PlayStation
14453,83.0,PlayStation
14450,83.0,PlayStation
14456,83.0,PlayStation
14445,83.0,PlayStation
14444,83.0,PlayStation
14437,83.0,PlayStation
14433,83.0,PlayStation
14428,83.0,PlayStation
14420,83.0,PlayStation
14417,83.0,PlayStation
14416,83.0,PlayStation
13765,82.0,PlayStation
13787,82.0,PlayStation
13785,82.0,PlayStation
13783,82.0,PlayStation
13779,82.0,PlayStation
13772,82.0,PlayStation
13767,82.0,PlayStation
13766,82.0,PlayStation
13740,82.0,PlayStation
13764,82.0,PlayStation
13758,82.0,PlayStation
13755,82.0,PlayStation
13752,82.0,PlayStation
13748,82.0,PlayStation
13747,82.0,PlayStation
13743,82.0,PlayStation
13738,82.0,PlayStation
13788,82.0,PlayStation
13807,82.0,PlayStation
13790,82.0,PlayStation
13791,82.0,PlayStation
13836,82.0,PlayStation
13733,82.0,PlayStation
13832,82.0,PlayStation
13826,82.0,PlayStation
13825,82.0,PlayStation
13822,82.0,PlayStation
13821,82.0,PlayStation
13816,82.0,PlayStation
13814,82.0,PlayStation
13810,82.0,PlayStation
13808,82.0,PlayStation
13804,82.0,PlayStation
13801,82.0,PlayStation
13800,82.0,PlayStation
13796,82.0,PlayStation
13795,82.0,PlayStation
13623,82.0,PlayStation
13735,82.0,PlayStation
13676,82.0,PlayStation
13729,82.0,PlayStation
13721,82.0,PlayStation
13669,82.0,PlayStation
13664,82.0,PlayStation
13661,82.0,PlayStation
13660,82.0,PlayStation
13658,82.0,PlayStation
13654,82.0,PlayStation
13652,82.0,PlayStation
13646,82.0,PlayStation
13644,82.0,PlayStation
13641,82.0,PlayStation
13640,82.0,PlayStation
13638,82.0,PlayStation
13636,82.0,PlayStation
13635,82.0,PlayStation
13628,82.0,PlayStation
13625,82.0,PlayStation
13842,82.0,PlayStation
13670,82.0,PlayStation
13675,82.0,PlayStation
13677,82.0,PlayStation
13700,82.0,PlayStation
13720,82.0,PlayStation
13714,82.0,PlayStation
13711,82.0,PlayStation
13709,82.0,PlayStation
13705,82.0,PlayStation
13704,82.0,PlayStation
13702,82.0,PlayStation
13699,82.0,PlayStation
13679,82.0,PlayStation
13698,82.0,PlayStation
13697,82.0,PlayStation
13694,82.0,PlayStation
13691,82.0,PlayStation
13683,82.0,PlayStation
13682,82.0,PlayStation
13680,82.0,PlayStation
13840,82.0,PlayStation
13794,82.0,PlayStation
13843,82.0,PlayStation
13958,82.0,PlayStation
14025,82.0,PlayStation
14020,82.0,PlayStation
14013,82.0,PlayStation
14010,82.0,PlayStation
14005,82.0,PlayStation
13999,82.0,PlayStation
13998,82.0,PlayStation
13996,82.0,PlayStation
13993,82.0,PlayStation
13989,82.0,PlayStation
13988,82.0,PlayStation
13987,82.0,PlayStation
13981,82.0,PlayStation
13976,82.0,PlayStation
13973,82.0,PlayStation
13966,82.0,PlayStation
13963,82.0,PlayStation
14026,82.0,PlayStation
14029,82.0,PlayStation
14046,82.0,PlayStation
14068,82.0,PlayStation
13851,82.0,PlayStation
14077,82.0,PlayStation
14076,82.0,PlayStation
14075,82.0,PlayStation
14072,82.0,PlayStation
14071,82.0,PlayStation
14070,82.0,PlayStation
14066,82.0,PlayStation
14049,82.0,PlayStation
14063,82.0,PlayStation
14058,82.0,PlayStation
14057,82.0,PlayStation
14056,82.0,PlayStation
14055,82.0,PlayStation
14053,82.0,PlayStation
14051,82.0,PlayStation
13959,82.0,PlayStation
14044,82.0,PlayStation
13957,82.0,PlayStation
13863,82.0,PlayStation
13885,82.0,PlayStation
13884,82.0,PlayStation
13881,82.0,PlayStation
13879,82.0,PlayStation
13873,82.0,PlayStation
13870,82.0,PlayStation
13866,82.0,PlayStation
13862,82.0,PlayStation
13890,82.0,PlayStation
13861,82.0,PlayStation
13860,82.0,PlayStation
13859,82.0,PlayStation
13854,82.0,PlayStation
13853,82.0,PlayStation
13942,82.0,PlayStation
13852,82.0,PlayStation
13889,82.0,PlayStation
13869,82.0,PlayStation
13930,82.0,PlayStation
13924,82.0,PlayStation
13939,82.0,PlayStation
13892,82.0,PlayStation
13938,82.0,PlayStation
13934,82.0,PlayStation
13933,82.0,PlayStation
13940,82.0,PlayStation
13927,82.0,PlayStation
13926,82.0,PlayStation
13925,82.0,PlayStation
13921,82.0,PlayStation
13911,82.0,PlayStation
13908,82.0,PlayStation
13907,82.0,PlayStation
13898,82.0,PlayStation
13895,82.0,PlayStation
13893,82.0,PlayStation
13284,81.0,PlayStation
13278,81.0,PlayStation
13281,81.0,PlayStation
13282,81.0,PlayStation
13259,81.0,PlayStation
13289,81.0,PlayStation
13291,81.0,PlayStation
13276,81.0,PlayStation
13294,81.0,PlayStation
13277,81.0,PlayStation
13265,81.0,PlayStation
13275,81.0,PlayStation
13273,81.0,PlayStation
13271,81.0,PlayStation
13270,81.0,PlayStation
13269,81.0,PlayStation
13267,81.0,PlayStation
13266,81.0,PlayStation
