id,Nombre,Plataforma,Marca,Puntuacion_usuario
0,Madden NFL 21,PlayStation4,PlayStation,2.0
1,Madden NFL 21,XboxOne,Xbox,4.0
2,Tom Clancy's The Division 2: Warlords of New York,PC,PC_Gamer,5.0
3,Warcraft III: Reforged,PC,PC_Gamer,6.0
4,NBA 2K21,PlayStation4,PlayStation,7.0
5,FIFA 21,PlayStation4,PlayStation,8.0
6,FIFA 20: Legacy Edition,Switch,Nintendo,9.0
7,WWE 2K20,XboxOne,Xbox,11.0
8,FIFA 21,XboxOne,Xbox,11.0
9,The Sims 4: Star Wars - Journey to Batuu,PC,PC_Gamer,11.0
10,Tom Clancy's The Division 2: Warlords of New York,XboxOne,Xbox,11.0
11,Tom Clancy's The Division 2: Warlords of New York,PlayStation4,PlayStation,11.0
12,Call of Duty: Modern Warfare 3 - Defiance,DS,Nintendo,12.0
13,FIFA 20,PlayStation4,PlayStation,12.0
14,Ride to Hell: Retribution,Xbox360,Xbox,13.0
15,Metal Gear Survive,PC,PC_Gamer,13.0
16,FIFA 21,PC,PC_Gamer,13.0
17,Alone in the Dark: Illumination,PC,PC_Gamer,13.0
18,FIFA 20,XboxOne,Xbox,13.0
19,Fast & Furious: Showdown,Xbox360,Xbox,13.0
20,Ride to Hell: Retribution,PC,PC_Gamer,13.0
21,NBA 2K20,PlayStation4,PlayStation,13.0
22,Ghostbusters,PlayStation4,PlayStation,14.0
23,Metal Gear Survive,PlayStation4,PlayStation,14.0
24,NBA 2K20,XboxOne,Xbox,14.0
25,Mindjack,Xbox360,Xbox,14.0
26,Destiny 2: Curse of Osiris,XboxOne,Xbox,14.0
27,Star Wars Battlefront II,PC,PC_Gamer,15.0
28,Star Wars Battlefront II,XboxOne,Xbox,15.0
29,Thrillville: Off the Rails,PSP,PlayStation,15.0
30,Sacred 3,PC,PC_Gamer,15.0
31,Legends of Pegasus,PC,PC_Gamer,15.0
32,WWE 2K20,PlayStation4,PlayStation,15.0
33,Extinction,PlayStation4,PlayStation,15.0
34,Dragon Ball: Evolution,PSP,PlayStation,15.0
35,R.I.P.D. The Game,PC,PC_Gamer,15.0
36,Wild West Online,PC,PC_Gamer,15.0
37,Destiny 2: Curse of Osiris,PlayStation4,PlayStation,15.0
38,Tony Hawk's Pro Skater 5,PlayStation4,PlayStation,15.0
39,R.I.P.D. The Game,PC,PC_Gamer,15.0
40,Double Dragon II: Wander of the Dragons,Xbox360,Xbox,15.0
41,EA SPORTS UFC 4,PlayStation4,PlayStation,15.0
42,Fimbul,PlayStation4,PlayStation,15.0
43,Star Wars Battlefront II,PlayStation4,PlayStation,15.0
44,Rambo: The Video Game,PC,PC_Gamer,16.0
45,Call of Duty: WWII - The War Machine,PlayStation4,PlayStation,16.0
46,NBA 2K18,XboxOne,Xbox,16.0
47,Giga Wrecker Alt.,PlayStation4,PlayStation,16.0
48,Pool Party,Wii,Nintendo,16.0
49,Call of Duty: Infinite Warfare - Sabotage,PlayStation4,PlayStation,16.0
50,Air Conflicts: Vietnam Ultimate Edition,PlayStation4,PlayStation,17.0
51,Extinction,XboxOne,Xbox,17.0
52,Destiny 2: Curse of Osiris,PC,PC_Gamer,17.0
53,Thundercats,DS,Nintendo,17.0
54,Cities XXL,PC,PC_Gamer,17.0
55,Drake of the 99 Dragons,Xbox,Xbox,17.0
56,Infestation: Survivor Stories (The War Z),PC,PC_Gamer,17.0
57,NBA 2K21,XboxOne,Xbox,17.0
58,NBA 2K18,PlayStation4,PlayStation,17.0
59,Clash of the Titans,PlayStation3,PlayStation,17.0
60,Thrillville,Xbox,Xbox,17.0
61,Attack of the Movies 3D,Xbox360,Xbox,17.0
62,NBA 2K20,Switch,Nintendo,18.0
63,Kabuki Warriors,Xbox,Xbox,18.0
64,Tennis World Tour,XboxOne,Xbox,18.0
65,Fast & Furious Crossroads,PlayStation4,PlayStation,18.0
66,Rambo: The Video Game,PlayStation3,PlayStation,18.0
67,NBA Unrivaled,PlayStation3,PlayStation,18.0
68,The History Channel: Battle for the Pacific,PlayStation3,PlayStation,18.0
69,OVERPASS,PlayStation4,PlayStation,19.0
70,Tom Clancy's Ghost Recon 2,GameCube,Nintendo,19.0
71,MTV's Celebrity Deathmatch,Xbox,Xbox,19.0
72,The LEGO Movie 2 Videogame,PlayStation4,PlayStation,19.0
73,Wallace & Gromit in Project Zoo,Xbox,Xbox,19.0
74,Madden NFL 20,XboxOne,Xbox,19.0
75,Battleship,Xbox360,Xbox,19.0
76,Leisure Suit Larry: Box Office Bust,PlayStation3,PlayStation,19.0
77,The Quiet Man,PlayStation4,PlayStation,19.0
78,Mindjack,PlayStation3,PlayStation,19.0
79,Arcania: Fall of Setarrif,PC,PC_Gamer,19.0
80,Madden NFL 19,PlayStation4,PlayStation,20.0
81,Corpse of Discovery,PC,PC_Gamer,20.0
82,Extinction,PC,PC_Gamer,20.0
83,FIFA 19,PlayStation4,PlayStation,20.0
84,The Dark Eye : Book of Heroes,PC,PC_Gamer,20.0
85,Charlie and the Chocolate Factory,Xbox,Xbox,20.0
86,Battlefield: Play4Free,PC,PC_Gamer,20.0
87,Fast & Furious Crossroads,PC,PC_Gamer,20.0
88,Super Dungeon Bros,PlayStation4,PlayStation,20.0
89,Call of Duty: Modern Warfare 3,Wii,Nintendo,20.0
90,Catan,Switch,Nintendo,20.0
91,Zathura,PlayStation2,PlayStation,20.0
92,Metal Gear Survive,XboxOne,Xbox,20.0
93,Tony Hawk Ride,PlayStation3,PlayStation,20.0
94,Wallace & Gromit: Curse of the Were-Rabbit,Xbox,Xbox,20.0
95,Terminator 3: Rise of the Machines,Xbox,Xbox,20.0
96,SoulCalibur: Lost Swords,PlayStation3,PlayStation,20.0
97,Road Rage,PlayStation4,PlayStation,20.0
98,Gleamlight,Switch,Nintendo,20.0
99,Family Party: 30 Great Games Obstacle Arcade,WiiU,Nintendo,20.0
100,Bad Boys: Miami Takedown,GameCube,Nintendo,20.0
101,Without Warning,Xbox,Xbox,20.0
102,Leisure Suit Larry: Box Office Bust,PC,PC_Gamer,20.0
103,Command & Conquer 4: Tiberian Twilight,PC,PC_Gamer,21.0
104,Company of Heroes 2,PC,PC_Gamer,21.0
105,Power Gig: Rise of the SixString,Xbox360,Xbox,21.0
106,Chime Sharp,XboxOne,Xbox,21.0
107,Underworld Ascendant,PC,PC_Gamer,21.0
108,RollerCoaster Tycoon World,PC,PC_Gamer,21.0
109,Umbrella Corps,PC,PC_Gamer,21.0
110,Rekoil,PC,PC_Gamer,21.0
111,CSI: NY,PC,PC_Gamer,21.0
112,Tony Hawk's Pro Skater 5,XboxOne,Xbox,21.0
113,Star Trek The Video Game,PlayStation3,PlayStation,21.0
114,Crisis on the Planet of the Apes VR,PlayStation4,PlayStation,21.0
115,Pulse Racer,Xbox,Xbox,22.0
116,Call of Duty: Ghosts,PC,PC_Gamer,22.0
117,Inkheart,DS,Nintendo,22.0
118,Darksiders III: Keepers of the Void,PlayStation4,PlayStation,22.0
119,Bomberman: Act Zero,Xbox360,Xbox,22.0
120,SimAnimals,Wii,Nintendo,22.0
121,SimCity,PC,PC_Gamer,22.0
122,Spore Hero Arena,DS,Nintendo,22.0
123,Artifact,PC,PC_Gamer,22.0
124,The Sims 2: Apartment Pets,DS,Nintendo,22.0
125,Deal or No Deal,DS,Nintendo,22.0
126,Super Dungeon Bros,XboxOne,Xbox,22.0
127,Dragon Ball Z for Kinect,Xbox360,Xbox,22.0
128,Rambo: The Video Game,Xbox360,Xbox,23.0
129,FIFA 19,XboxOne,Xbox,23.0
130,LOL: Never Party Alone!,DS,Nintendo,23.0
131,Shadow Harvest: Phantom Ops,PC,PC_Gamer,23.0
132,Commandos 2 HD Remaster,PC,PC_Gamer,23.0
133,The Bunker,Switch,Nintendo,23.0
134,Thrillville: Off the Rails,PlayStation2,PlayStation,23.0
135,Wolfenstein: Youngblood,PC,PC_Gamer,23.0
136,Battlefield V,PlayStation4,PlayStation,23.0
137,Star Trek The Video Game,PC,PC_Gamer,23.0
138,Sonic Free Riders,Xbox360,Xbox,23.0
139,Mable & The Wood,PC,PC_Gamer,23.0
140,UEFA Euro 2012,PlayStation3,PlayStation,23.0
141,Wolfenstein: Youngblood,XboxOne,Xbox,23.0
142,Loons - The Fight for Fame,Xbox,Xbox,23.0
143,The Inner World,XboxOne,Xbox,24.0
144,Hoodwink,PC,PC_Gamer,24.0
145,Farming Simulator 20,Switch,Nintendo,24.0
146,Narcos: Rise of the Cartels,PlayStation4,PlayStation,24.0
147,Fray,PC,PC_Gamer,24.0
148,Leisure Suit Larry: Box Office Bust,Xbox360,Xbox,24.0
149,ARK: Survival Evolved,Switch,Nintendo,24.0
150,Power Gig: Rise of the SixString,PlayStation3,PlayStation,24.0
151,Pillars of Eternity: Complete Edition,Switch,Nintendo,24.0
152,Family Party: 30 Great Games,Wii,Nintendo,24.0
153,Terrawars: New York Invasion,PC,PC_Gamer,24.0
154,UFC Personal Trainer: The Ultimate Fitness System,PlayStation3,PlayStation,24.0
155,Aeon Flux,Xbox,Xbox,24.0
156,Pixel Piracy,PlayStation4,PlayStation,24.0
157,Randall,PlayStation4,PlayStation,25.0
158,Call of Duty: Modern Warfare,PC,PC_Gamer,25.0
159,Umbrella Corps,PlayStation4,PlayStation,25.0
160,Zapper,GameCube,Nintendo,25.0
161,Brain Boost: Beta Wave,DS,Nintendo,25.0
162,Hunting Simulator 2,PlayStation4,PlayStation,25.0
163,Bruce Lee: Quest of the Dragon,Xbox,Xbox,25.0
164,DreamWorks Shrek Forever After,PlayStation3,PlayStation,25.0
165,Tom Clancy's Ghost Recon: Breakpoint,PC,PC_Gamer,25.0
166,Steel Battalion: Heavy Armor,Xbox360,Xbox,25.0
167,Hotel Giant 2,PC,PC_Gamer,25.0
168,Transformers: Dark of the Moon - Stealth Force Edition,Wii,Nintendo,25.0
169,HYPERGUN,PC,PC_Gamer,25.0
170,Big Mutha Truckers 2,PlayStation2,PlayStation,25.0
171,NBA Live 14,PlayStation4,PlayStation,26.0
172,Star Trek The Video Game,Xbox360,Xbox,26.0
173,The Sims 4: Eco Lifestyle,PC,PC_Gamer,26.0
174,The Elder Scrolls: Blades,Switch,Nintendo,26.0
175,Kick-Ass,PlayStation3,PlayStation,26.0
176,Survivor (2001),PC,PC_Gamer,26.0
177,Charlie and the Chocolate Factory,PC,PC_Gamer,26.0
178,Call of Duty: Modern Warfare 2 - Stimulus Package,Xbox360,Xbox,26.0
179,Iron Man,PC,PC_Gamer,26.0
180,Chicago Enforcer,Xbox,Xbox,26.0
181,The Walking Dead: Survival Instinct,PC,PC_Gamer,26.0
182,RollerCoaster Tycoon 3D,3DS,Nintendo,26.0
183,Universal Combat,PC,PC_Gamer,26.0
184,Hitman HD Enhanced Collection,PlayStation4,PlayStation,26.0
185,Wolfenstein: Youngblood,PlayStation4,PlayStation,26.0
186,Transformers: Revenge of the Fallen - Decepticons,DS,Nintendo,26.0
187,Narcos: Rise of the Cartels,XboxOne,Xbox,26.0
188,Cars,DS,Nintendo,27.0
189,NBA 2K19,PlayStation4,PlayStation,27.0
190,Aquaman: Battle for Atlantis,Xbox,Xbox,27.0
191,Call of Duty: Ghosts,PlayStation3,PlayStation,27.0
192,Warhammer Quest,PC,PC_Gamer,27.0
193,Weeping Doll,PlayStation4,PlayStation,27.0
194,Fallout 76,PC,PC_Gamer,27.0
195,NHL 21,PlayStation4,PlayStation,27.0
196,Narcos: Rise of the Cartels,PC,PC_Gamer,27.0
197,Waking,PC,PC_Gamer,27.0
198,Call of Duty: Ghosts,Xbox360,Xbox,27.0
199,FIFA 18,PC,PC_Gamer,27.0
200,World Championship Poker 2: Featuring Howard Lederer,PSP,PlayStation,27.0
201,Tortuga - Two Treasures,PC,PC_Gamer,27.0
202,Gravity Ghost: Deluxe Edition,PlayStation4,PlayStation,27.0
203,Fallout 76,PlayStation4,PlayStation,28.0
204,The Da Vinci Code,Xbox,Xbox,28.0
205,Fighter Within,XboxOne,Xbox,28.0
206,Big Mutha Truckers 2,PC,PC_Gamer,28.0
207,UEFA Euro 2012,Xbox360,Xbox,28.0
208,Start the Party! Save the World,PlayStation3,PlayStation,28.0
209,Torchlight III,PlayStation4,PlayStation,28.0
210,Dynasty Warriors 9,PC,PC_Gamer,28.0
211,NBA 2K19,XboxOne,Xbox,28.0
212,Jenga World Tour,Wii,Nintendo,28.0
213,The Deer God,Switch,Nintendo,28.0
214,Black Mirror,XboxOne,Xbox,28.0
215,Battleship,PlayStation3,PlayStation,28.0
216,Crackdown 3,PC,PC_Gamer,28.0
217,Aaru's Awakening,PC,PC_Gamer,28.0
218,One Piece: Grand Cruise,PlayStation4,PlayStation,28.0
219,Thrillville,PSP,PlayStation,28.0
220,Manchester United Soccer 2005,PC,PC_Gamer,28.0
221,Call of Duty: WWII - The Resistance,PlayStation4,PlayStation,28.0
222,Basement Crawl,PlayStation4,PlayStation,28.0
223,Aquaman: Battle for Atlantis,GameCube,Nintendo,28.0
224,Sunset,PC,PC_Gamer,28.0
225,Tom Clancy's Ghost Recon: Breakpoint,PlayStation4,PlayStation,28.0
226,Rogue Warrior,PlayStation3,PlayStation,28.0
227,Afro Samurai 2: Revenge of Kuma Volume One,PlayStation4,PlayStation,28.0
228,Fortnite,PC,PC_Gamer,28.0
229,Tenkai Knights: Brave Battle,3DS,Nintendo,29.0
230,"Harry Potter and the Deathly Hallows, Part 1",PlayStation3,PlayStation,29.0
231,Call of Duty: Modern Warfare 3,PC,PC_Gamer,29.0
232,Chime Sharp,PlayStation4,PlayStation,29.0
233,World War II Combat: Iwo Jima,PC,PC_Gamer,29.0
234,Oddworld: Munch's Oddysee,GameBoyAdvance,Nintendo,29.0
235,World of Warriors,PlayStation4,PlayStation,29.0
236,Jeremy McGrath Supercross World,PlayStation2,PlayStation,29.0
237,Storm,Xbox360,Xbox,29.0
238,Battlefield V,XboxOne,Xbox,29.0
239,Battlefield V,PC,PC_Gamer,29.0
240,Air Conflicts: Vietnam,PC,PC_Gamer,29.0
241,Farming Simulator,PlayStation3,PlayStation,29.0
242,Madden NFL 19,XboxOne,Xbox,29.0
243,World of Warcraft: Battle for Azeroth,PC,PC_Gamer,30.0
244,Batman: Dark Tomorrow,GameCube,Nintendo,30.0
245,Takedown: Red Sabre,PC,PC_Gamer,30.0
246,Fuel Overdose,PlayStation3,PlayStation,30.0
247,Driven,PlayStation2,PlayStation,30.0
248,Target: Terror,Wii,Nintendo,30.0
249,L.A. Rush,Xbox,Xbox,30.0
250,Thrillville,PlayStation2,PlayStation,30.0
251,Mortal Kombat 11,PC,PC_Gamer,30.0
252,YIIK: A Postmodern RPG,PC,PC_Gamer,30.0
253,The Sims 3,3DS,Nintendo,30.0
254,8-Bit Hordes,PlayStation4,PlayStation,30.0
255,New World Order,PC,PC_Gamer,30.0
256,Batman: The Enemy Within - Episode 1: The Enigma,XboxOne,Xbox,30.0
257,Driving Emotion Type-S,PlayStation2,PlayStation,30.0
258,Rogue Warrior,Xbox360,Xbox,30.0
259,Football Manager Live,PC,PC_Gamer,30.0
260,Fear Factor: Unleashed,GameBoyAdvance,Nintendo,30.0
261,Torchlight III,PC,PC_Gamer,30.0
262,Whirlwind Over Vietnam,PC,PC_Gamer,30.0
263,NARC,Xbox,Xbox,30.0
264,NBA 10 The Inside,PSP,PlayStation,30.0
265,AMY,PlayStation3,PlayStation,30.0
266,Wallace & Gromit in Project Zoo,GameCube,Nintendo,30.0
267,Interpol: The Trail of Dr. Chaos,Xbox360,Xbox,30.0
268,Putty Squad,PlayStation4,PlayStation,30.0
269,AMY,PlayStation3,PlayStation,30.0
270,Myst,DS,Nintendo,30.0
271,TotemBall,Xbox360,Xbox,30.0
272,Mortal Kombat: Special Forces,PlayStation,PlayStation,30.0
273,Homie Rollerz,DS,Nintendo,30.0
274,Stronghold 3,PC,PC_Gamer,30.0
275,Zombie Apocalypse: Never Die Alone,PlayStation3,PlayStation,30.0
276,Postal III,PC,PC_Gamer,30.0
277,McFarlane's Evil Prophecy,PlayStation2,PlayStation,30.0
278,Clockwork Empires,PC,PC_Gamer,30.0
279,Tony Hawk Ride,Xbox360,Xbox,30.0
280,Destiny 2: Warmind,PlayStation4,PlayStation,30.0
281,Deus Ex: The Fall,PC,PC_Gamer,30.0
282,Destiny: The Dark Below,PlayStation4,PlayStation,31.0
283,Scarface: Money. Power. Respect.,PSP,PlayStation,31.0
284,FlatOut 3: Chaos & Destruction,PC,PC_Gamer,31.0
285,Damnation,PlayStation3,PlayStation,31.0
286,Vampire Rain,Xbox360,Xbox,31.0
287,Empire Earth III,PC,PC_Gamer,31.0
288,NBA Live 14,XboxOne,Xbox,31.0
289,NFL Tour,Xbox360,Xbox,31.0
290,Pixel Piracy,XboxOne,Xbox,31.0
291,Tennis World Tour,PlayStation4,PlayStation,31.0
292,Street Fighter V,PC,PC_Gamer,31.0
293,Escape Dead Island,PlayStation3,PlayStation,31.0
294,Might & Magic: Chess Royale,PC,PC_Gamer,31.0
295,The Secrets of Atlantis,PC,PC_Gamer,31.0
296,Conflict: Denied Ops,PlayStation3,PlayStation,31.0
297,The Infectious Madness of Doctor Dekker,PlayStation4,PlayStation,31.0
298,PlayerUnknown's Battlegrounds,PlayStation4,PlayStation,31.0
299,Call of Duty: Black Ops 4,PC,PC_Gamer,31.0
300,Dead by Daylight,Switch,Nintendo,31.0
301,Into the Stars,PC,PC_Gamer,31.0
302,Hour of Victory,Xbox360,Xbox,31.0
303,Vroom in the Night Sky,Switch,Nintendo,31.0
304,Sherlock Holmes: The Mystery of the Mummy,DS,Nintendo,31.0
305,Battle: Los Angeles,PC,PC_Gamer,31.0
306,Project CARS 3,PC,PC_Gamer,31.0
307,Raven Squad: Operation Hidden Dagger,PC,PC_Gamer,31.0
308,Kinect: Disneyland Adventures,Xbox360,Xbox,31.0
309,Call of Duty: Black Ops III,PC,PC_Gamer,31.0
310,New Gundam Breaker,PlayStation4,PlayStation,31.0
311,Tom Clancy's Ghost Recon: Breakpoint,XboxOne,Xbox,32.0
312,Dangerous Golf,PC,PC_Gamer,32.0
313,Marvel's Avengers,PC,PC_Gamer,32.0
314,Project CARS 3,XboxOne,Xbox,32.0
315,Thrillville: Off the Rails,Wii,Nintendo,32.0
316,Project CARS 3,PlayStation4,PlayStation,32.0
317,FIFA 18,XboxOne,Xbox,32.0
318,Defector,PC,PC_Gamer,32.0
319,Fallout 76,XboxOne,Xbox,32.0
320,Crysis Remastered,PC,PC_Gamer,32.0
321,Gothic 3: Forsaken Gods,PC,PC_Gamer,32.0
322,Crysis Remastered,PC,PC_Gamer,32.0
323,Zoo Tycoon,XboxOne,Xbox,32.0
324,Shin Megami Tensei: Devil Summoner - Raidou Kuzunoha vs. the Soulless Army,PlayStation2,PlayStation,32.0
325,Combat Mission: Shock Force,PC,PC_Gamer,32.0
326,Charlie and the Chocolate Factory,GameCube,Nintendo,32.0
327,X Rebirth,PC,PC_Gamer,32.0
328,FIFA 19,Switch,Nintendo,32.0
329,Lucius II,PC,PC_Gamer,32.0
330,Coliseum,PC,PC_Gamer,32.0
331,Chronovolt,PlayStationVita,PlayStation,32.0
332,Sniper: Art of Victory,PC,PC_Gamer,32.0
333,Jagged Alliance: Rage!,PC,PC_Gamer,32.0
334,Cloudpunk,Switch,Nintendo,32.0
335,Universal Studios Theme Parks Adventure,GameCube,Nintendo,32.0
336,NHL 15,XboxOne,Xbox,32.0
337,"Bury Me, My Love",PC,PC_Gamer,32.0
338,Magic: Duels of the Planeswalkers 2015,PC,PC_Gamer,32.0
339,Call for Heroes: Pompolic Wars,PC,PC_Gamer,32.0
340,MXGP 2019,PlayStation4,PlayStation,32.0
341,The History Channel: Great Battles of Rome,PC,PC_Gamer,32.0
342,Carnival Games,DS,Nintendo,33.0
343,SIMULACRA,PlayStation4,PlayStation,33.0
344,No Man's Sky,PC,PC_Gamer,33.0
345,Cool Boarders 2001,PlayStation,PlayStation,33.0
346,Thrillville: Off the Rails,Xbox360,Xbox,33.0
347,Mortal Kombat 11,XboxOne,Xbox,33.0
348,Kane & Lynch: Dead Men,Xbox360,Xbox,33.0
349,LostWinds,Wii,Nintendo,33.0
350,Out of the Park Baseball 17,PC,PC_Gamer,33.0
351,ESPN Sports Connection,WiiU,Nintendo,33.0
352,Shin Megami Tensei: Devil Summoner 2: Raidou Kuzunoha vs. King Abaddon,PlayStation2,PlayStation,33.0
353,Top Gun: Combat Zones,PlayStation2,PlayStation,33.0
354,Raven's Cry,PC,PC_Gamer,33.0
355,LostWinds: Winter of the Melodias,Wii,Nintendo,33.0
356,Naruto Shippuden: Dragon Blade Chronicles,Wii,Nintendo,33.0
357,Jumper: Griffin's Story,Xbox360,Xbox,33.0
358,Batman: Dark Tomorrow,Xbox,Xbox,33.0
359,Call of Duty: Modern Warfare 3,PlayStation3,PlayStation,33.0
360,Way of the Dogg,Xbox360,Xbox,33.0
361,Godzilla,PlayStation4,PlayStation,33.0
362,Call of Duty: Modern Warfare,PlayStation4,PlayStation,33.0
363,Uncanny Valley,XboxOne,Xbox,33.0
364,Darius Cozmic Collection: Arcade,PlayStation4,PlayStation,33.0
365,Motocross Mania 3,Xbox,Xbox,33.0
366,Atlantis Evolution,PC,PC_Gamer,33.0
367,Stop Stress: A Day of Fury,Wii,Nintendo,33.0
368,DRIV3R,PC,PC_Gamer,33.0
369,Dog's Life,PlayStation2,PlayStation,33.0
370,Dead Alliance,XboxOne,Xbox,34.0
371,Astro Boy: The Video Game,Wii,Nintendo,34.0
372,Ghostbusters: Sanctum of Slime,Xbox360,Xbox,34.0
373,Sacred 3,PlayStation3,PlayStation,34.0
374,R.I.P.D. The Game,Xbox360,Xbox,34.0
375,Gravity Games Bike: Street Vert Dirt,PlayStation2,PlayStation,34.0
376,Kinectimals,Xbox360,Xbox,34.0
377,Disney's Donald Duck: Goin' Quackers,GameCube,Nintendo,34.0
378,Babel Rising,Xbox360,Xbox,34.0
379,One Punch Man: A Hero Nobody Knows,XboxOne,Xbox,34.0
380,Fire Pro Wrestling,Xbox360,Xbox,34.0
381,Seduce Me,PC,PC_Gamer,34.0
382,Tunnel Rats: 1968,PC,PC_Gamer,34.0
383,The Asskickers,PC,PC_Gamer,34.0
384,2064: Read Only Memories,PlayStation4,PlayStation,34.0
385,Game Tycoon,PC,PC_Gamer,34.0
386,Death Track: Resurrection,PC,PC_Gamer,34.0
387,Wallace & Gromit: Curse of the Were-Rabbit,PlayStation2,PlayStation,34.0
388,Dead Rising 3: Chaos Rising,XboxOne,Xbox,34.0
389,Micro Machines World Series,PC,PC_Gamer,34.0
390,Screwjumper!,Xbox360,Xbox,34.0
391,FIFA 18,PlayStation4,PlayStation,34.0
392,Space Junkies,PlayStation4,PlayStation,34.0
393,Bridge Constructor Portal,PlayStation4,PlayStation,34.0
394,Game Party Champions,WiiU,Nintendo,34.0
395,Death Stranding,PC,PC_Gamer,34.0
396,Anthem,PlayStation4,PlayStation,34.0
397,Max & the Magic Marker: Gold Edition,PlayStation3,PlayStation,34.0
398,NASCAR Heat 5,PlayStation4,PlayStation,34.0
399,For Honor: Marching Fire,PlayStation4,PlayStation,34.0
400,The Ant Bully,PC,PC_Gamer,34.0
401,Choplifter HD,Xbox360,Xbox,34.0
402,Rogue Warrior,PC,PC_Gamer,34.0
403,Ghostbusters: Sanctum of Slime,PlayStation3,PlayStation,34.0
404,Jagged Alliance: Rage!,PlayStation4,PlayStation,34.0
405,Call of Juarez: The Cartel,PC,PC_Gamer,34.0
406,Coffeetime Crosswords,Xbox360,Xbox,34.0
407,Sneakers,Xbox,Xbox,34.0
408,Vancouver 2010 - The Official Video Game of the Olympic Winter Games,PC,PC_Gamer,34.0
409,Omerta: City of Gangsters,Xbox360,Xbox,35.0
410,The Shield: The Game,PC,PC_Gamer,35.0
411,Destiny: Rise of Iron,XboxOne,Xbox,35.0
412,The Sims 3: Pets,Xbox360,Xbox,35.0
413,Pinball FX 2: Star Wars Pinball - Rogue One,PlayStation4,PlayStation,35.0
414,Batman: Arkham Knight,PC,PC_Gamer,35.0
415,Arc of Alchemist,PlayStation4,PlayStation,35.0
416,Dungeons & Dragons: Daggerdale,PC,PC_Gamer,35.0
417,DualPenSports,3DS,Nintendo,35.0
418,SD Gundam Force: Showdown!,PlayStation2,PlayStation,35.0
419,Thrillville: Off the Rails,PC,PC_Gamer,35.0
420,Left Behind: Eternal Forces,PC,PC_Gamer,35.0
421,Magic: The Gathering Arena,PC,PC_Gamer,35.0
422,Nelke & the Legendary Alchemists: Ateliers of the New World,PlayStation4,PlayStation,35.0
423,The Occupation,PlayStation4,PlayStation,35.0
424,Jazz Jackrabbit,GameBoyAdvance,Nintendo,35.0
425,Flywrench,PlayStation4,PlayStation,35.0
426,Aliens: Colonial Marines,PC,PC_Gamer,35.0
427,Top Gun: Hard Lock,Xbox360,Xbox,35.0
428,All-Star Fruit Racing,Switch,Nintendo,35.0
429,Touhou Kobuto V: Burst Battle,PlayStation4,PlayStation,35.0
430,Disney Sing It,PlayStation3,PlayStation,35.0
431,Smoke and Sacrifice,PC,PC_Gamer,35.0
432,Bust-A-Move Bash!,Wii,Nintendo,35.0
433,Three Fourths Home: Extended Edition,XboxOne,Xbox,35.0
434,Wallace & Gromit in Project Zoo,PlayStation2,PlayStation,35.0
435,Escape Dead Island,PC,PC_Gamer,35.0
436,Raven Squad: Operation Hidden Dagger,Xbox360,Xbox,35.0
437,Sonic Boom: Rise of Lyric,WiiU,Nintendo,35.0
438,Star Wars Battlefront,PC,PC_Gamer,35.0
439,Microsoft Flight,PC,PC_Gamer,35.0
440,World of Tanks,PC,PC_Gamer,35.0
441,Catwoman (2004),PC,PC_Gamer,35.0
442,Disney's Atlantis: The Lost Empire - Trial By Fire,PC,PC_Gamer,35.0
443,Call of Duty: Modern Warfare 3,Xbox360,Xbox,35.0
444,Wolfenstein: Youngblood,Switch,Nintendo,35.0
445,Mike Tyson Heavyweight Boxing,PlayStation2,PlayStation,35.0
446,Madden NFL 18,PlayStation4,PlayStation,35.0
447,GoDai: Elemental Force,PlayStation2,PlayStation,35.0
448,MLB 2K13,Xbox360,Xbox,35.0
449,TMNT,DS,Nintendo,36.0
450,Truck Racing Championship,PlayStation4,PlayStation,36.0
451,Heroes of Normandie,PC,PC_Gamer,36.0
452,The Sum of All Fears,GameCube,Nintendo,36.0
453,Micro Machines World Series,PlayStation4,PlayStation,36.0
454,My Street,PlayStation2,PlayStation,36.0
455,DreamWorks Kung Fu Panda 2,PlayStation3,PlayStation,36.0
456,Unlimited Saga,PlayStation2,PlayStation,36.0
457,Call of Duty: Warzone,PC,PC_Gamer,36.0
458,Skylanders SuperChargers,PlayStation4,PlayStation,36.0
459,Mighty No. 9,PlayStation4,PlayStation,36.0
460,Dino Crisis 3,Xbox,Xbox,36.0
461,Mighty No. 9,PC,PC_Gamer,36.0
462,Pryzm Chapter One: The Dark Unicorn,PlayStation2,PlayStation,36.0
463,Aliens: Colonial Marines,PlayStation3,PlayStation,36.0
464,Call of Duty: Infinite Warfare,PC,PC_Gamer,36.0
465,The Sims 4,XboxOne,Xbox,36.0
466,Alien Blast: The Encounter,PC,PC_Gamer,36.0
467,Shin Megami Tensei: Devil Survivor 2,DS,Nintendo,36.0
468,Gene Rain,XboxOne,Xbox,36.0
469,City of Brass,XboxOne,Xbox,36.0
470,DreamWorks Shrek the Third,PSP,PlayStation,36.0
471,Legends of Wrestling II,GameBoyAdvance,Nintendo,36.0
472,Surfing H3O,PlayStation2,PlayStation,36.0
473,Call of Duty: Black Ops III - Eclipse,PlayStation4,PlayStation,36.0
474,G.I. Combat,PC,PC_Gamer,36.0
475,Soldier Elite,PC,PC_Gamer,36.0
476,NHL 18,PlayStation4,PlayStation,36.0
477,Akimi Village,PlayStation3,PlayStation,36.0
