id,Nombre,Plataforma,Marca,Puntuacion_usuario
3452,MySims Racing,Wii,Nintendo,61.0
3453,Need for Speed: The Run,PC,PC_Gamer,61.0
3454,Dust 514,PlayStation3,PlayStation,61.0
3455,EA Sports UFC,PlayStation4,PlayStation,61.0
3456,"Pokemon: Let's Go, Pikachu!",Switch,Nintendo,61.0
3457,The Immortals of Terra: A Perry Rhodan Adventure,PC,PC_Gamer,61.0
3458,Those Who Remain,PlayStation4,PlayStation,61.0
3459,Legends of Wrestling II,PlayStation2,PlayStation,61.0
3460,Madden NFL 10,Xbox360,Xbox,61.0
3461,Marine Park Empire,PC,PC_Gamer,61.0
3462,Project CARS 2,PlayStation4,PlayStation,61.0
3463,FlatOut 4: Total Insanity,PlayStation4,PlayStation,61.0
3464,Hotshot Racing,PlayStation4,PlayStation,61.0
3465,WWF Raw,Xbox,Xbox,61.0
3466,Just Dance 2016,XboxOne,Xbox,61.0
3467,Front Mission Evolved,PlayStation3,PlayStation,61.0
3468,The Golf Club,PC,PC_Gamer,61.0
3469,The Elder Scrolls Online: Summerset,PC,PC_Gamer,61.0
3470,The Swords of Ditto,PlayStation4,PlayStation,61.0
3471,Crash Team Racing: Nitro-Fueled,XboxOne,Xbox,61.0
3472,FaceBreaker K.O. Party,Wii,Nintendo,61.0
3473,Attractio,PlayStation4,PlayStation,61.0
3474,Shift 2: Unleashed,PC,PC_Gamer,61.0
3475,Brave: The Video Game,Xbox360,Xbox,61.0
3476,Burnout Legends,DS,Nintendo,61.0
3477,Back to the Future: The Game - Episode I: It's About Time,PlayStation3,PlayStation,61.0
3478,WRC 3: FIA World Rally Championship,PlayStation3,PlayStation,61.0
3479,Front Mission Evolved,Xbox360,Xbox,61.0
3480,Shin Megami Tensei: Nocturne,PlayStation2,PlayStation,61.0
3481,The Walking Dead: The Telltale Series - A New Frontier Episode 4: Thicker than Water,PC,PC_Gamer,61.0
3482,Crasher,PC,PC_Gamer,61.0
3483,Final Fantasy XIII,Xbox360,Xbox,61.0
3484,Assassin's Creed Chronicles: China,PlayStation4,PlayStation,61.0
3485,Ghostbusters: The Video Game,DS,Nintendo,61.0
3486,Shrek 2,PC,PC_Gamer,61.0
3487,Bloody Good Time,Xbox360,Xbox,61.0
3488,The Outer Worlds: Peril on Gorgon,PlayStation4,PlayStation,61.0
3489,Shadowrun,PC,PC_Gamer,61.0
3490,Shenmue III,PC,PC_Gamer,61.0
3491,Minecraft: Story Mode Season Two - Episode 2: Giant Consequences,PC,PC_Gamer,61.0
3492,Snake Pass,XboxOne,Xbox,61.0
3493,Men of Valor,PC,PC_Gamer,61.0
3494,NHL 16,XboxOne,Xbox,61.0
